1,47.0,4,9.0,2,3,4,4,1,0.0,0.0,40.0,39
0,31.0,4,13.0,2,7,4,3,1,0.0,0.0,36.0,26
1,32.0,4,10.0,2,13,5,4,0,0.0,0.0,32.0,39
0,58.0,4,9.0,2,3,4,2,1,0.0,0.0,40.0,39
0,17.0,4,6.0,4,6,3,4,1,0.0,0.0,20.0,39
0,28.0,4,9.0,0,12,3,4,0,0.0,0.0,40.0,39
0,23.0,4,9.0,4,9,3,4,1,0.0,0.0,40.0,39
1,52.0,5,15.0,2,10,4,4,1,15024.0,0.0,60.0,39
0,46.0,4,9.0,2,3,4,4,1,3464.0,0.0,40.0,39
0,33.0,4,8.0,0,7,1,2,0,0.0,0.0,40.0,39
0,23.0,4,11.0,4,12,3,4,1,0.0,0.0,40.0,39
0,41.0,6,9.0,2,4,4,4,1,0.0,0.0,45.0,26
0,47.0,4,9.0,0,7,0,4,1,4650.0,0.0,40.0,39
0,43.0,2,13.0,2,10,4,4,1,0.0,0.0,40.0,39
0,32.0,4,10.0,4,1,0,4,0,0.0,0.0,40.0,39
1,40.0,4,15.0,4,10,0,4,0,14084.0,0.0,50.0,39
0,48.0,4,9.0,2,3,4,4,1,0.0,0.0,40.0,39
0,54.0,4,9.0,2,3,4,4,1,0.0,0.0,49.0,39
0,62.0,4,10.0,0,1,1,4,0,0.0,0.0,30.0,39
1,63.0,4,10.0,2,12,4,4,1,7298.0,0.0,48.0,39
0,42.0,2,9.0,2,1,4,4,1,0.0,0.0,8.0,39
0,41.0,4,9.0,2,14,4,4,1,0.0,0.0,40.0,39
1,50.0,1,13.0,0,10,0,4,1,0.0,0.0,60.0,39
1,42.0,4,14.0,4,4,0,4,1,0.0,0.0,40.0,39
0,40.0,4,14.0,4,10,0,4,0,0.0,0.0,40.0,39
1,59.0,4,9.0,2,3,4,4,1,0.0,0.0,40.0,39
0,23.0,4,10.0,4,8,3,4,1,0.0,0.0,32.0,39
0,23.0,4,9.0,4,7,3,4,0,0.0,0.0,16.0,39
0,39.0,4,9.0,0,6,0,4,1,0.0,0.0,40.0,39
0,60.0,4,9.0,2,3,4,4,1,0.0,0.0,50.0,39
0,20.0,4,9.0,4,7,3,4,1,0.0,1590.0,40.0,39
0,24.0,4,10.0,4,1,3,4,0,0.0,0.0,40.0,39
0,38.0,4,9.0,2,6,4,2,1,0.0,0.0,40.0,39
0,31.0,4,13.0,2,12,4,4,1,0.0,0.0,55.0,39
0,51.0,2,1.0,2,8,4,4,1,0.0,0.0,40.0,39
0,28.0,4,9.0,2,12,4,4,1,0.0,0.0,40.0,39
0,66.0,4,10.0,2,14,4,4,1,0.0,1258.0,20.0,39
1,65.0,4,9.0,2,12,4,4,1,9386.0,0.0,40.0,39
1,37.0,4,13.0,2,4,4,4,1,0.0,0.0,45.0,39
1,48.0,4,13.0,2,4,4,4,1,0.0,0.0,55.0,39
1,40.0,4,12.0,2,12,4,4,1,0.0,0.0,60.0,39
0,76.0,4,4.0,6,9,0,4,0,0.0,0.0,40.0,39
0,28.0,4,13.0,4,10,0,4,1,0.0,0.0,45.0,39
1,47.0,0,9.0,2,0,4,4,1,5178.0,0.0,30.0,2
0,40.0,5,14.0,2,3,4,4,1,0.0,0.0,50.0,39
0,25.0,4,9.0,2,12,4,4,1,0.0,0.0,40.0,39
0,90.0,6,10.0,2,5,4,4,1,0.0,0.0,40.0,39
0,28.0,1,13.0,4,13,0,2,0,0.0,0.0,40.0,39
0,49.0,4,9.0,2,7,4,4,1,0.0,0.0,40.0,39
0,41.0,4,13.0,4,10,0,4,0,0.0,1741.0,40.0,39
0,43.0,4,9.0,2,3,4,4,1,0.0,0.0,40.0,39
0,25.0,6,9.0,2,3,4,4,1,0.0,0.0,40.0,39
0,28.0,4,7.0,2,3,4,4,1,0.0,0.0,40.0,39
0,23.0,4,13.0,4,1,0,4,0,0.0,0.0,40.0,39
0,29.0,4,11.0,2,10,4,4,1,0.0,0.0,40.0,39
0,46.0,5,9.0,3,5,0,4,1,3325.0,0.0,45.0,39
1,36.0,4,14.0,2,10,4,4,1,7298.0,0.0,55.0,39
0,36.0,2,13.0,2,10,3,4,1,0.0,0.0,40.0,39
0,30.0,4,10.0,2,7,4,4,1,0.0,0.0,48.0,39
0,35.0,6,3.0,2,8,5,4,0,0.0,0.0,15.0,26
0,22.0,4,10.0,4,12,3,4,1,0.0,0.0,8.0,39
0,33.0,7,14.0,4,10,0,4,1,0.0,0.0,30.0,39
0,61.0,4,8.0,2,8,5,4,0,0.0,0.0,40.0,39
